longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-124.15,40.76,24,2858,511,1388,512,3.375,100600,NEAR OCEAN
-124.15,40.78,36,2112,374,829,368,3.3984,90000,NEAR OCEAN
-124.15,40.88,33,2235,506,1165,441,1.725,57500,NEAR OCEAN
-124.15,40.59,39,1186,238,539,212,2.0938,79600,NEAR OCEAN
-124.14,41.95,21,2696,578,1208,494,2.275,122400,NEAR OCEAN
-124.14,40.8,32,1373,312,872,306,2.5,72600,NEAR OCEAN
-124.14,40.79,38,1552,290,873,291,2.4896,81000,NEAR OCEAN
-124.14,40.78,35,2426,423,982,432,3.4219,92800,NEAR OCEAN
-124.14,40.77,27,3046,605,1407,571,2.9143,99600,NEAR OCEAN
-124.14,41.06,32,1020,215,421,198,3.0208,143400,NEAR OCEAN
-124.14,40.72,18,2581,499,1375,503,2.8446,100500,NEAR OCEAN
-124.14,40.67,23,580,117,320,109,4.2054,130600,NEAR OCEAN
-124.14,40.6,27,1148,206,521,219,4.025,128100,NEAR OCEAN
-124.14,40.59,22,1665,405,826,382,1.5625,66800,NEAR OCEAN
-124.14,40.59,17,2985,610,1544,584,2.178,76800,NEAR OCEAN
-124.14,40.58,25,1899,357,891,355,2.6987,92500,<1H OCEAN
-124.14,40.57,29,2864,600,1314,562,2.1354,75100,<1H OCEAN
-124.13,40.78,34,2142,420,1056,382,2.1101,86900,NEAR OCEAN
-124.13,40.8,31,2152,462,1259,420,2.2478,81100,NEAR OCEAN
-124.13,40.79,29,2474,453,1130,427,2.8833,83000,NEAR OCEAN
-124.13,40.79,32,2017,359,855,346,3.5833,92800,NEAR OCEAN
-124.13,40.62,43,2131,399,910,389,2.5804,92100,NEAR OCEAN
-124.13,40.55,38,544,,240,91,3.25,94800,<1H OCEAN
-124.11,40.81,23,959,212,425,175,2.5536,96100,NEAR OCEAN
-124.11,40.95,19,1734,365,866,342,2.96,81700,NEAR OCEAN
-124.11,40.93,25,2392,474,1298,461,3.5076,73600,NEAR OCEAN
-124.11,40.93,17,1661,329,948,357,2.7639,90200,NEAR OCEAN
-124.11,40.57,33,1348,234,573,236,2.4896,74100,<1H OCEAN
-124.1,40.88,35,2987,578,1581,585,2.0657,81100,NEAR OCEAN
-124.1,40.9,18,4032,798,1948,775,2.7321,92600,NEAR OCEAN
-124.1,41.04,26,1633,380,890,370,1.9741,97900,NEAR OCEAN
-124.1,40.95,17,1485,345,823,316,1.8993,78400,NEAR OCEAN
-124.1,40.73,33,644,129,334,121,3.9659,111800,NEAR OCEAN
-124.1,40.5,30,1927,393,996,374,2.2357,72300,<1H OCEAN
-124.1,40.5,42,2380,553,1300,504,1.7574,57500,<1H OCEAN
-124.1,40.47,52,1196,236,965,265,3.5345,55000,<1H OCEAN
-124.09,40.86,25,1322,387,794,379,1.1742,75000,NEAR OCEAN
-124.09,40.87,44,692,206,398,211,1.1576,87500,NEAR OCEAN
-124.09,40.88,50,921,187,420,187,2.2188,105800,NEAR OCEAN
-124.09,40.88,31,1982,495,1052,467,1.5326,74100,NEAR OCEAN
-124.09,40.88,26,2683,555,1353,526,2.4321,82100,NEAR OCEAN
-124.09,40.95,18,2250,484,1248,472,2.5893,99600,NEAR OCEAN
-124.09,40.92,12,2497,491,1153,462,2.8182,126900,NEAR OCEAN
-124.09,40.55,24,2978,553,1370,480,2.7644,97300,<1H OCEAN
-124.09,40.44,38,2220,426,1041,401,2.3947,70500,<1H OCEAN
-124.08,40.86,18,1287,484,805,502,1.1157,150000,NEAR OCEAN
-124.08,40.87,29,1710,469,990,425,1.1479,101100,NEAR OCEAN
-124.08,40.91,13,2522,719,1381,628,1.6667,78800,NEAR OCEAN
-124.08,41.36,29,1029,239,509,196,2.0156,62800,NEAR OCEAN
-124.08,40.99,18,3297,662,1554,578,2.6847,111300,NEAR OCEAN
-124.08,40.94,18,1550,345,941,335,2.3147,70100,NEAR OCEAN
-124.08,40.06,17,1319,267,393,163,2.625,135600,NEAR OCEAN
-124.07,40.87,47,1765,326,796,333,2.2138,99200,NEAR OCEAN
-124.07,40.87,31,334,134,780,130,0.7684,153100,NEAR OCEAN
-124.07,40.81,23,2103,411,1019,387,2.9911,119700,NEAR OCEAN
-124.06,40.86,34,4183,,1891,669,3.2216,98100,NEAR OCEAN
-124.06,40.88,12,2087,424,1603,438,2.5667,139500,NEAR OCEAN
-124.06,41.13,22,3263,799,1384,578,2.4708,119400,NEAR OCEAN
-124.05,40.85,31,2414,428,1005,401,3.5156,143000,NEAR OCEAN
-124.05,40.94,14,1452,217,516,181,5.0329,165600,NEAR OCEAN
-124.05,40.59,32,1878,340,937,353,3.4408,95200,<1H OCEAN
-124.03,40.45,34,1006,213,443,158,2.6094,71300,<1H OCEAN
-124.02,40.8,22,2588,435,1198,442,3.9792,133900,<1H OCEAN
-124.02,40.72,28,3513,634,1658,598,3.8095,119900,<1H OCEAN
-124.01,40.97,21,1513,319,943,301,3.538,102700,<1H OCEAN
-124.01,40.89,28,1470,336,811,314,2.4559,75600,<1H OCEAN
-124,40.92,29,1429,,672,266,2.9485,98800,<1H OCEAN
-124,40.22,16,2088,535,816,326,1.319,70700,<1H OCEAN
-123.98,40.88,41,1719,372,844,336,2.6923,84200,<1H OCEAN
-123.96,40.57,31,1854,365,883,310,2.3167,92600,<1H OCEAN
-123.92,41.54,22,2920,636,1382,499,2.0202,71100,NEAR OCEAN
-123.91,41.68,22,1880,360,743,314,2.9688,152700,<1H OCEAN
-123.88,40.93,28,1272,259,519,220,3.2891,106300,<1H OCEAN
-123.85,41.32,31,938,238,425,157,1.0486,36700,<1H OCEAN
-123.84,40.28,28,2809,605,1093,438,2.0962,74000,<1H OCEAN
-123.83,41.88,18,1504,357,660,258,3.13,116700,<1H OCEAN
-123.82,40.16,19,2283,634,1184,453,1.2227,76800,<1H OCEAN
-123.82,40.12,33,2985,591,1221,486,2.087,82400,<1H OCEAN
-123.78,40.05,17,2019,496,899,347,2.1864,101900,<1H OCEAN
-123.76,41.03,24,2386,565,1058,414,2.0644,79800,<1H OCEAN
-123.75,40.11,35,2052,477,900,402,1.9625,101500,<1H OCEAN
-123.74,40.66,25,2395,431,983,375,3.0469,136000,<1H OCEAN
-123.73,40.48,25,2015,524,746,251,1.7153,77100,INLAND
-123.72,41.09,19,1970,431,1166,363,1.8208,50000,<1H OCEAN
-123.68,40.24,31,1852,452,917,359,1.725,54300,<1H OCEAN
-123.66,41.3,22,1580,372,686,264,1.8065,62700,<1H OCEAN
-123.63,41.11,19,1797,384,1033,327,1.4911,59200,<1H OCEAN
-123.52,41.01,17,1564,345,517,222,2.1542,83800,INLAND
-123.07,39.12,24,1098,193,353,145,3.8333,92600,<1H OCEAN
-122.99,39.02,14,1582,301,851,273,3.45,164100,<1H OCEAN
-122.95,39.13,17,380,69,225,72,3.25,137500,INLAND
-122.94,39.1,18,681,120,272,105,2.8906,140600,INLAND
-122.92,39.08,24,341,64,146,57,4,166300,INLAND
-122.92,39.05,16,1548,295,605,250,3.5652,119000,INLAND
-122.92,39.05,38,3131,624,1591,568,2.5457,80700,INLAND
-122.92,38.97,20,2067,384,904,333,2.9934,134200,<1H OCEAN
-122.91,39.18,43,89,18,86,27,2.0208,72500,INLAND
-122.91,39.17,44,202,42,142,39,4.35,68300,INLAND
-122.91,39.07,21,2202,484,1000,381,2.4423,102300,INLAND
-122.91,39.06,21,1236,238,601,261,1.939,100300,INLAND
-122.91,39.05,20,1128,229,621,210,3.2216,93500,INLAND
-122.91,39.05,27,789,208,295,108,3.7667,95000,INLAND
-122.91,39.03,14,2374,557,723,427,1.3532,95800,INLAND
-122.9,39.23,39,1295,240,534,179,3.9519,98900,INLAND
-122.9,39.17,45,1314,277,649,232,2.575,73600,INLAND
-122.9,39.09,15,2483,544,835,380,1.9141,143200,INLAND
-122.89,39.42,16,411,114,26,19,0.4999,73500,INLAND
-122.89,39.11,10,1588,333,585,254,2.2551,71100,INLAND
-122.89,38.93,20,1214,247,504,223,2.7188,105700,<1H OCEAN
-122.88,39.14,20,1125,231,521,196,2.2188,106300,INLAND
-122.87,39.13,15,1927,427,810,321,1.6369,86500,INLAND
-122.86,39.08,24,3127,674,1015,448,2.0417,78800,INLAND
-122.86,39.05,20,1592,327,647,253,2.5326,136800,INLAND
-122.85,39,20,1580,318,753,252,1.8704,88500,INLAND
-122.84,38.98,21,939,176,556,178,1.7196,75000,INLAND
-122.83,39.09,26,2191,495,679,371,1.4679,94700,INLAND
-122.83,38.99,15,289,49,191,54,1.6833,113900,INLAND
-122.83,38.98,17,1383,347,719,296,1.6164,77800,INLAND
-122.83,38.96,15,1318,296,567,276,1.8692,93800,INLAND
-122.83,38.89,11,640,134,268,90,3.4514,100000,<1H OCEAN
-122.8,39.08,17,1880,467,798,342,1.4676,65000,INLAND
-122.79,39.09,20,1798,395,685,331,1.625,66800,INLAND
-122.79,39.08,23,952,200,321,128,1.5208,89000,INLAND
-122.79,39.02,23,642,203,265,84,1.8833,96900,INLAND
-122.78,39.05,15,1601,323,661,269,2.6181,108900,INLAND
-122.78,38.97,11,5175,971,2144,792,3.0466,97300,INLAND
-122.77,38.92,26,712,140,293,100,4.0119,119400,INLAND
-122.75,39.01,17,4162,967,889,414,3.4187,200500,INLAND
-122.74,39.71,16,255,73,85,38,1.6607,14999,INLAND
-122.74,38.83,12,4515,909,1554,528,3.3531,90800,<1H OCEAN
-122.73,39.04,23,1618,395,425,244,1.9833,111500,INLAND
-122.72,38.88,29,2781,,890,310,1.9906,96600,INLAND
-122.71,38.91,20,41,18,94,10,1.375,55000,INLAND
-122.7,39.14,13,532,111,214,62,3.3929,108300,INLAND
-122.7,39,18,793,148,186,59,2.3125,162500,INLAND
-122.7,38.99,18,1177,224,181,105,2.3558,134700,INLAND
-122.7,38.97,17,2554,540,723,319,3.2375,114200,INLAND
-122.69,39.04,9,254,50,66,29,2.7639,112500,INLAND
-122.69,39.02,27,2199,527,744,316,2.1094,72400,INLAND
-122.69,38.94,9,1245,234,517,187,3.125,93400,INLAND
-122.68,38.98,27,2300,508,526,254,2.1838,109700,INLAND
-122.68,38.76,29,994,226,302,117,2.3125,67900,INLAND
-122.66,39.03,27,1446,329,594,255,1.165,53300,INLAND
-122.66,39.02,16,3715,810,943,510,1.7446,109400,INLAND
-122.66,38.81,22,852,176,461,142,3.4375,83300,INLAND
-122.65,38.99,16,4279,951,1596,666,1.8571,75900,INLAND
-122.65,38.97,32,1856,472,703,292,1.1912,60000,INLAND
-122.65,38.96,27,2143,580,898,367,1.6769,63200,INLAND
-122.65,38.92,30,70,38,20,13,4.125,112500,INLAND
-122.64,38.96,29,883,187,326,136,1.7273,58200,INLAND
-122.64,38.95,28,1503,370,522,268,1.2029,68900,INLAND
-122.64,38.87,16,1177,240,519,199,1.5739,73500,INLAND
-122.64,38.71,20,531,126,231,96,2.625,89600,INLAND
-122.63,38.96,17,1708,459,633,312,1.75,64000,INLAND
-122.63,38.96,20,2507,577,1072,457,2.3083,60200,INLAND
-122.63,38.95,11,686,127,246,86,1.7083,77300,INLAND
-122.63,38.94,25,661,144,192,93,1.7566,49000,INLAND
-122.63,38.94,18,3844,969,1832,845,1.125,81800,INLAND
-122.62,38.95,19,2230,538,832,359,1.6865,58800,INLAND
-122.62,38.94,14,1731,400,638,282,2.3179,57500,INLAND
-122.62,38.96,16,1914,446,828,332,2.0577,69000,INLAND
-122.62,38.94,13,524,129,215,90,1.5455,55000,INLAND
-122.62,38.92,13,520,115,249,109,1.8417,84700,INLAND
-122.62,38.73,21,1425,323,727,287,2.1474,85300,INLAND
-122.61,38.93,14,231,36,108,31,4.3897,71300,INLAND
-122.6,38.93,16,1657,390,572,301,1.4767,62000,INLAND
-122.6,38.9,23,292,56,92,41,2.9583,91700,INLAND
-122.59,38.92,15,1410,329,599,273,2.1953,75000,INLAND
-122.59,38.78,15,764,145,366,143,3.375,103100,INLAND
-122.55,38.81,7,3639,637,1027,421,3.8831,132100,INLAND
-122.53,39.5,25,1231,240,658,211,2.4861,71900,INLAND
-122.53,39.09,11,1264,271,370,177,1.3,69700,INLAND
-122.52,38.99,16,975,219,337,155,1.6607,77800,INLAND
-122.52,38.7,26,102,17,43,13,0.536,87500,INLAND
-122.51,39.3,19,1629,386,551,214,1.7463,68800,INLAND
-122.51,38.76,9,2589,482,1050,374,4.0435,132600,INLAND
-122.5,38.82,12,2394,443,877,341,2.5625,109200,INLAND
-122.48,38.9,10,304,63,161,61,2.1964,112500,INLAND
-122.42,37.93,47,3453,779,1353,728,4.016,274500,NEAR BAY
-122.41,37.98,36,60,15,42,25,1.4583,67500,NEAR BAY
-122.41,37.94,52,154,33,89,38,3.2875,275000,NEAR BAY
-122.39,38,33,44,6,23,11,4.125,212500,NEAR BAY
-122.38,37.91,18,3507,711,1224,676,5.0524,269800,NEAR BAY
-122.38,39.68,21,1155,210,510,175,2.3851,67500,INLAND
-122.37,37.95,35,215,45,100,34,1.6023,81300,NEAR BAY
-122.37,37.95,32,1298,363,716,268,0.9797,76400,NEAR BAY
-122.37,37.96,37,1572,402,1046,350,0.7403,68600,NEAR BAY
-122.37,37.94,49,969,229,599,195,1.3167,71600,NEAR BAY
-122.37,37.94,40,1064,266,912,239,1.0521,69100,NEAR BAY
-122.37,37.93,45,3150,756,1798,749,1.75,37900,NEAR BAY
-122.37,37.93,37,709,190,644,174,0.8641,84200,NEAR BAY
-122.36,38.03,32,2159,393,981,369,4.3173,175400,NEAR BAY
-122.36,37.96,39,246,57,316,52,0.716,104200,NEAR BAY
-122.36,37.96,31,1157,276,956,232,1.5347,80400,NEAR BAY
-122.36,37.95,40,408,102,302,81,1.8333,69800,NEAR BAY
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-122.36,37.95,38,1042,289,773,248,2.7714,104700,NEAR BAY
-122.36,37.95,38,1066,248,729,286,1.5139,81700,NEAR BAY
-122.36,37.94,45,907,188,479,161,3.0862,79000,NEAR BAY
-122.36,37.94,27,844,249,583,265,0.9687,105800,NEAR BAY
-122.36,37.94,26,1540,343,1007,338,1.3365,72900,NEAR BAY
-122.36,37.94,41,2591,585,1638,462,1.822,79700,NEAR BAY
-122.36,37.94,43,369,107,371,111,1.6,79400,NEAR BAY
-122.36,37.93,17,1258,254,885,229,3.05,121600,NEAR BAY
-122.36,37.93,44,1891,449,1047,432,1.7727,86100,NEAR BAY
-122.36,37.93,42,1796,389,1107,372,1.9375,87000,NEAR BAY
-122.36,37.92,52,215,41,126,43,1.3929,104200,NEAR BAY
-122.35,37.98,34,3756,726,2237,686,3.7562,132900,NEAR BAY
-122.35,37.96,32,1991,504,1139,423,2.0353,113600,NEAR BAY
-122.35,37.97,43,2178,482,1545,471,2.5863,112200,NEAR BAY
-122.35,37.97,31,2892,685,2104,641,3.2188,113800,NEAR BAY
-122.35,37.96,36,2191,531,1563,524,2.5164,114200,NEAR BAY
-122.35,37.96,29,1899,524,1357,443,1.875,97200,NEAR BAY
-122.35,37.96,35,1326,346,1023,295,2.0724,97700,NEAR BAY
-122.35,37.95,31,2449,595,1801,548,2.6328,110300,NEAR BAY
-122.35,37.96,34,1428,335,1272,319,2.5461,93900,NEAR BAY
-122.35,37.95,45,2142,431,1318,431,3.0737,111600,NEAR BAY
-122.35,37.95,42,1485,290,971,303,3.6094,114600,NEAR BAY
-122.35,37.94,45,2112,493,1406,452,2.3456,105200,NEAR BAY
-122.35,37.94,34,1880,459,1358,422,1.6571,105200,NEAR BAY
-122.35,37.94,47,1275,275,844,273,2.8967,95600,NEAR BAY
-122.35,37.93,19,1334,366,1048,316,1.7865,88000,NEAR BAY
-122.35,37.93,28,1995,488,1182,439,2.3352,84300,NEAR BAY
-122.35,37.93,39,2002,416,1166,395,1.7257,91500,NEAR BAY
-122.35,37.92,36,921,200,585,236,1.9224,94000,NEAR BAY
-122.35,37.91,4,2851,798,1285,712,4.2895,186800,NEAR BAY
-122.35,37.93,41,268,75,198,82,3.2222,156300,NEAR BAY
-122.34,37.88,37,3061,930,2556,924,1.7375,350000,NEAR BAY
-122.34,37.99,42,1531,326,1271,377,2.6167,85100,NEAR BAY
-122.34,37.98,33,2014,410,1354,427,3.9773,131300,NEAR BAY
-122.34,37.97,19,392,109,287,81,6.0426,110000,NEAR BAY
-122.34,37.97,19,2237,580,1438,551,2.3382,120700,NEAR BAY
-122.34,37.96,15,6487,1717,3408,1560,2.1991,133300,NEAR BAY
-122.34,37.96,33,1817,441,1220,389,2.5382,103600,NEAR BAY
-122.34,37.95,45,1128,240,702,270,3.6719,134100,NEAR BAY
-122.34,37.95,44,1675,317,806,311,3.0694,135300,NEAR BAY
-122.34,37.95,44,1788,368,933,329,2.875,133400,NEAR BAY
-122.34,37.95,39,1986,427,1041,385,3.2333,135100,NEAR BAY
-122.34,37.95,38,1340,298,766,241,3.2833,111700,NEAR BAY
-122.34,37.94,47,2313,433,947,430,3.942,143300,NEAR BAY
-122.34,37.94,44,1917,444,936,435,2.7391,140300,NEAR BAY
-122.34,37.94,31,1611,455,786,411,1.681,145500,NEAR BAY
-122.34,37.94,42,2206,451,989,444,3.125,143900,NEAR BAY
-122.34,37.93,30,2515,481,1327,428,2.1287,95000,NEAR BAY
-122.34,37.93,32,2389,652,1672,584,1.4423,88300,NEAR BAY
-122.34,37.93,45,2225,486,1304,459,2.64,112100,NEAR BAY
-122.33,37.89,42,1342,291,551,266,4.5268,207400,NEAR BAY
-122.33,39.1,10,266,62,154,49,2.25,75000,INLAND
-122.33,38,35,3779,711,2493,679,2.9781,109000,NEAR BAY
-122.33,37.98,3,2850,544,1024,515,6.0115,175000,NEAR BAY
-122.33,37.99,4,3999,1079,1591,887,3.911,112500,NEAR BAY
-122.33,37.97,19,5151,1335,2548,1165,3.3125,158800,NEAR BAY
-122.33,37.98,32,1967,348,1144,364,4.4135,150100,NEAR BAY
-122.33,37.97,45,1982,376,1179,398,3.5463,130800,NEAR BAY
-122.33,37.96,46,1222,236,819,251,3.9118,129400,NEAR BAY
-122.33,37.95,22,2099,569,1135,509,2.1915,120800,NEAR BAY
-122.33,37.95,42,1627,336,848,316,3.7708,144600,NEAR BAY
-122.33,37.94,45,1226,279,590,260,2.8833,140400,NEAR BAY
-122.33,37.94,47,1882,361,797,342,3.5848,140800,NEAR BAY
-122.33,37.94,43,1876,389,807,377,3.1571,141600,NEAR BAY
-122.33,37.94,42,1695,345,719,334,3.9417,139100,NEAR BAY
-122.33,37.94,44,1769,332,828,309,4.0526,150800,NEAR BAY
-122.33,37.95,45,1585,329,981,373,3.0313,135800,NEAR BAY
-122.33,37.95,46,1543,339,777,322,4.0927,142600,NEAR BAY
-122.33,37.91,36,1954,513,1437,440,1.125,93800,NEAR BAY
-122.33,37.93,34,2326,471,1356,441,2.3475,90300,NEAR BAY
-122.33,37.93,27,2158,424,1220,442,3.0156,111500,NEAR BAY
-122.33,37.92,26,3887,779,2512,740,2.2301,122400,NEAR BAY
-122.32,38.06,4,7999,1611,3596,1396,5.0969,174200,NEAR BAY
-122.32,37.95,37,1887,353,895,359,4.45,196600,NEAR BAY
-122.32,37.95,36,1425,245,573,239,4.35,185000,NEAR BAY
-122.32,37.97,29,2347,464,1135,490,3.9722,161000,NEAR BAY
-122.32,38.01,26,3054,492,1495,496,4.6944,171100,NEAR BAY
-122.32,37.99,24,4865,968,2315,893,4.2852,173500,NEAR BAY
-122.32,38,32,2275,397,1233,418,4.0437,162800,NEAR BAY
-122.32,37.97,33,1595,292,991,300,4.6937,134100,NEAR BAY
-122.32,37.97,33,1156,190,643,209,4.5,156600,NEAR BAY
-122.32,37.96,25,1728,403,934,412,3.375,133700,NEAR BAY
-122.32,37.96,34,2070,357,784,294,4.0417,182800,NEAR BAY
-122.32,37.95,35,1612,354,887,331,2.5769,146100,NEAR BAY
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,NEAR BAY
-122.32,37.94,46,1901,295,833,352,5.5196,210800,NEAR BAY
-122.32,37.93,40,1141,213,434,196,3.9464,186900,NEAR BAY
-122.32,37.92,29,2304,399,1377,454,5.0187,140600,NEAR BAY
-122.32,37.92,28,4649,977,2606,953,3.2674,129100,NEAR BAY
-122.32,37.91,34,2669,647,1341,555,2.6399,119600,NEAR BAY
-122.32,37.93,40,3056,489,1103,481,5.1067,247300,NEAR BAY
-122.32,37.94,47,1911,283,697,275,6.2712,267700,NEAR BAY
-122.32,37.93,33,296,73,216,63,2.675,22500,NEAR BAY
-122.32,37.92,22,1119,220,565,199,3.3594,186900,NEAR BAY
-122.31,38,26,3735,641,1708,633,4.621,191100,NEAR BAY
-122.31,38.01,18,4123,874,1895,772,3.2759,195000,NEAR BAY
-122.31,37.94,38,1794,349,810,335,3.8343,191400,NEAR BAY
-122.31,37.94,38,2172,403,945,384,4.3958,194200,NEAR BAY
-122.31,37.99,25,6508,1137,3259,1081,4.2348,157800,NEAR BAY
-122.31,38,29,3108,534,1687,516,4.3333,170800,NEAR BAY
-122.31,37.91,39,2955,696,1417,682,2.7628,167800,NEAR BAY
-122.31,37.91,43,2549,511,1060,528,3.6417,178400,NEAR BAY
-122.31,37.91,45,3924,834,1992,773,4.1146,177800,NEAR BAY
-122.31,37.93,39,2505,371,872,345,5.3433,286500,NEAR BAY
-122.31,37.93,36,2403,408,917,404,5.0399,253400,NEAR BAY
-122.31,37.93,36,1526,256,696,263,3.5089,261900,NEAR BAY
-122.31,37.92,30,1014,236,537,204,2.8456,183300,NEAR BAY
-122.31,37.92,38,1250,236,631,279,3.724,220100,NEAR BAY
-122.31,37.92,12,1895,600,983,519,2.5,195800,NEAR BAY
-122.31,37.92,43,2116,407,900,361,4.1587,212200,NEAR BAY
-122.31,37.91,31,1432,348,681,348,2.7243,218100,NEAR BAY
-122.3,37.81,52,1224,237,521,159,1.191,76100,NEAR BAY
-122.3,37.81,48,828,182,392,133,2.5938,73500,NEAR BAY
-122.3,37.81,52,1010,209,604,187,1.1667,78400,NEAR BAY
-122.3,37.81,48,1455,354,788,332,0.8056,84400,NEAR BAY
-122.3,37.81,52,572,109,274,82,1.8516,85000,NEAR BAY
-122.3,37.9,38,2263,522,1027,509,3.5125,224200,NEAR BAY
-122.3,37.89,46,1520,402,815,375,2.8036,211600,NEAR BAY
-122.3,37.9,15,5083,1212,2420,1146,4.5824,256100,NEAR BAY
-122.3,37.89,36,1077,293,518,276,3.0208,206300,NEAR BAY
-122.3,37.89,52,1248,283,620,275,4.0875,221300,NEAR BAY
-122.3,37.88,45,453,146,749,137,1.475,187500,NEAR BAY
-122.3,37.88,52,409,97,208,98,1.6971,138800,NEAR BAY
-122.3,37.87,10,503,118,228,100,2.1705,150000,NEAR BAY
-122.3,37.86,50,499,127,287,128,2.75,140600,NEAR BAY
-122.3,37.88,46,1647,376,854,355,2.9,144800,NEAR BAY
-122.3,37.87,52,3123,749,1695,684,2.2208,144800,NEAR BAY
-122.3,37.84,14,7355,2408,3100,2051,4.0018,143800,NEAR BAY
-122.3,37.77,42,2038,368,2037,355,2.6447,200000,NEAR BAY
-122.3,38,34,1712,317,956,341,4.4394,162000,NEAR BAY
-122.3,37.97,30,4030,772,1777,718,3.6393,184000,NEAR BAY
-122.3,37.97,34,2854,528,1211,452,3.5353,164700,NEAR BAY
-122.3,37.97,35,1811,377,911,340,3.375,149700,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-122.3,37.92,32,3943,605,1524,614,6.0677,321600,NEAR BAY
